movieId,title,(no genres listed),Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,userId,rating,timestampRatings,imdbId,tmdbId,tag,timestampTag
1,Toy Story (1995),0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,336,4.0,1122227329,114709,862.0,pixar,1139045764
1,Toy Story (1995),0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,474,4.0,978575760,114709,862.0,pixar,1137206825
1,Toy Story (1995),0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,567,3.5,1525286001,114709,862.0,fun,1525286013
2,Jumanji (1995),0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,62,4.0,1528843890,113497,8844.0,fantasy,1528843929
2,Jumanji (1995),0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,62,4.0,1528843890,113497,8844.0,magic board game,1528843932
2,Jumanji (1995),0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,62,4.0,1528843890,113497,8844.0,Robin Williams,1528843907
2,Jumanji (1995),0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,474,3.0,1046886814,113497,8844.0,game,1137375552
3,Grumpier Old Men (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,289,2.5,1143424657,113228,15602.0,moldy,1143424860
3,Grumpier Old Men (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,289,2.5,1143424657,113228,15602.0,old,1143424860
5,Father of the Bride Part II (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,1.5,1053021982,113041,11862.0,pregnancy,1137373903
5,Father of the Bride Part II (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,1.5,1053021982,113041,11862.0,remake,1137373903
7,Sabrina (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,474,3.0,978576381,114319,11860.0,remake,1137375642
11,"American President, The (1995)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,474,2.5,1053021437,112346,9087.0,politics,1137374904
11,"American President, The (1995)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,474,2.5,1053021437,112346,9087.0,president,1137374904
14,Nixon (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,474,3.0,1120827247,113987,10858.0,politics,1137375623
14,Nixon (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,474,3.0,1120827247,113987,10858.0,president,1137375623
16,Casino (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,474,4.0,1088426731,112641,524.0,Mafia,1137181640
17,Sense and Sensibility (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,474,5.0,974668666,114388,4584.0,Jane Austen,1137181153
21,Get Shorty (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,474,4.0,1119232784,113161,8012.0,Hollywood,1137206178
22,Copycat (1995),0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,474,3.0,1046896006,112722,1710.0,serial killer,1137375496
25,Leaving Las Vegas (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,474,3.5,1127143175,113627,451.0,alcoholism,1138137555
